log_ingreso,ingreso,escolaridad,experiencia,experiencia_sq,mujer,urbano,horas_trabajo,edad
6.902564921863391,994.8230895104357,12,38,1444,0,0,48,56
7.310601321109416,1496.0765411701946,8,32,1024,0,0,57,46
6.5364338632323395,689.82218620766,1,25,625,0,1,53,32
6.576156374023348,717.7751611831765,17,37,1369,0,0,20,60
5.493369544433099,243.0748801002178,0,19,361,1,1,39,25
7.547888962603033,1896.7344246829116,11,21,441,0,0,45,38
6.661370001884732,781.6210262264676,9,41,1681,0,1,46,56
6.294636228644871,541.6587706050045,1,29,841,0,1,42,36
6.245852977172714,515.8690618486227,8,26,676,1,1,26,40
5.272432821697581,194.88951762127343,1,21,441,0,1,41,28
7.425547667920867,1678.318482559651,13,9,81,1,1,56,28
6.226673917626779,506.06945242569856,10,25,625,1,1,54,41
6.38707235540099,594.1146744745741,10,37,1369,1,1,23,53
7.190897008126448,1327.2932646256618,16,35,1225,0,1,48,57
6.639535501129213,764.7396897850996,3,32,1024,1,1,56,41
6.453131006710355,634.6863924304374,12,2,4,1,1,55,20
6.355512589866329,575.6573411654223,6,27,729,1,0,22,39
7.321792750758851,1512.9138173909935,15,0,0,0,1,21,19
6.08178558607228,437.81024507045566,0,35,1225,1,1,24,41
6.630662910052671,757.9844796619012,12,43,1849,1,0,37,61
5.99404220334341,401.0323924990244,0,41,1681,0,1,53,47
6.683229981151772,798.8953661248296,10,39,1521,0,1,34,55
6.428882368330618,619.4812091534407,5,8,64,1,1,59,19
5.773316538049605,321.6025730498189,2,30,900,0,0,20,38
7.2168137109927235,1362.1419608715646,11,33,1089,1,1,41,50
6.887284553859083,979.7373777458686,4,19,361,0,1,44,29
6.554887986612642,702.6704369187494,8,25,625,0,0,36,39
6.48940196516925,658.1296610426953,11,44,1936,1,1,52,61
6.692014296506062,805.9440284670654,9,27,729,0,1,36,42
7.57891568865962,1956.506352783722,18,20,400,1,1,57,44
5.269323038161661,194.28439479621676,4,49,2401,1,0,24,59
6.500819382133706,665.6868615596095,4,35,1225,1,0,56,45
5.925132156602788,374.3279019953852,8,19,361,1,1,30,33
6.401209740877374,602.5735549858599,16,10,100,1,1,31,32
6.650720471748301,773.3412954256701,9,49,2401,0,1,53,64
5.462891095784395,235.77809700853462,0,55,3025,1,1,54,61
7.496049714167219,1800.914218596208,15,0,0,0,1,58,20
7.31787997415305,1507.0056897292588,14,34,1156,0,1,35,54
6.24807098849304,517.014535134363,16,2,4,1,1,43,24
6.336041054368888,564.5568315154306,12,20,400,1,0,50,38
6.378847356975339,589.248123335487,0,20,400,0,1,33,26
6.683694773806416,799.2667731297712,7,43,1849,0,1,51,56
6.0697065627662266,432.55373557841966,4,25,625,1,0,32,35
6.332513733297648,562.5689662882486,5,10,100,0,1,57,21
6.7459526268707934,850.6090538781868,13,23,529,1,0,36,42
6.299643578723079,544.3778476963905,10,15,225,1,1,55,31
5.707567119863627,301.1375448061718,5,15,225,0,0,37,26
6.614032593664338,745.4831962164747,10,27,729,0,0,38,43
6.273248552655782,530.1969560249524,12,1,1,1,1,26,19
6.850397081878369,944.2557790975542,11,20,400,0,1,49,37
5.971973117939992,392.2789202177846,1,38,1444,0,1,31,45
5.989144828408576,399.0731879075138,2,56,3136,0,1,30,64
6.037379603361982,418.79418892462974,3,15,225,0,1,48,24
6.968359365494955,1062.4781814639327,16,39,1521,0,1,22,61
6.287756400333357,537.9450408196639,5,14,196,0,0,53,25
6.583008366133538,722.7102391738277,6,52,2704,1,0,53,64
6.514452835901858,674.8246206823773,14,32,1024,1,0,50,52
6.314122533866498,552.3172082567294,10,15,225,1,1,41,31
6.128005028261924,458.52051217405676,2,26,676,0,1,21,34
